request_index,elapsed_s,latency_ms
0,0.009,9.00
1,0.015,5.00
2,0.020,5.00
3,0.025,4.00
4,0.031,6.00
5,0.037,5.00
6,0.043,6.00
7,0.049,5.00
8,0.056,7.00
9,0.060,4.00
10,0.066,5.00
11,0.072,5.00
12,0.080,7.00
13,0.084,4.00
14,0.092,7.00
15,0.097,5.00
16,0.102,5.00
17,0.108,6.00
18,0.110,2.00
19,0.119,8.00
20,0.124,5.00
21,0.129,4.00
22,0.133,3.00
23,0.142,8.00
24,0.147,5.00
25,0.152,4.00
26,0.157,5.00
27,0.165,7.00
28,0.168,2.00
29,0.176,8.00
30,0.182,5.00
31,0.187,5.00
32,0.188,1.00
33,0.199,10.00
34,0.205,6.00
35,0.212,6.00
36,0.219,6.00
37,0.224,5.00
38,0.230,5.00
39,0.236,6.00
40,0.244,7.00
41,0.250,5.00
42,0.253,3.00
43,0.260,6.00
44,0.262,2.00
45,0.271,9.00
46,0.271,0.00
47,0.277,6.00
48,0.283,6.00
49,0.291,7.00
50,0.294,2.00
51,0.300,6.00
52,0.306,5.00
53,0.309,3.00
54,0.318,9.00
55,0.326,8.00
56,0.333,6.00
57,0.337,4.00
58,0.344,7.00
59,0.347,2.00
60,0.355,8.00
61,0.361,5.00
62,0.366,5.00
63,0.372,5.00
64,0.381,8.00
65,0.383,2.00
66,0.389,6.00
67,0.401,12.00
68,0.407,5.00
69,0.411,3.00
70,0.411,0.00
71,0.421,10.00
72,0.433,12.00
73,0.441,7.00
74,0.445,3.00
75,0.453,8.00
76,0.460,7.00
77,0.463,3.00
78,0.463,0.00
79,0.463,0.00
80,0.481,17.00
81,0.481,0.00
82,0.493,11.00
83,0.499,5.00
84,0.503,4.00
85,0.509,6.00
86,0.517,7.00
87,0.525,7.00
88,0.530,5.00
89,0.536,6.00
90,0.539,3.00
91,0.549,9.00
92,0.558,9.00
93,0.560,1.00
94,0.570,9.00
95,0.570,0.00
96,0.580,9.00
97,0.587,7.00
98,0.592,4.00
99,0.600,7.00
