request_index,elapsed_s,latency_ms
0,0.120,120.00
1,0.174,53.00
2,0.244,70.00
3,0.306,61.00
4,0.364,57.00
5,0.416,52.00
6,0.456,40.00
7,0.500,43.00
8,0.557,56.00
9,0.663,105.00
10,0.760,97.00
11,0.846,86.00
12,0.950,103.00
13,1.016,65.00
14,1.097,81.00
15,1.266,168.00
16,1.518,252.00
17,1.752,233.00
18,1.950,198.00
19,2.162,211.00
20,2.514,352.00
21,2.815,301.00
22,2.845,30.00
23,3.002,156.00
24,3.308,305.00
25,3.504,196.00
26,3.678,173.00
27,3.890,212.00
28,4.032,142.00
29,4.172,139.00
30,4.328,155.00
31,4.495,166.00
32,4.634,138.00
33,4.686,51.00
34,4.708,22.00
35,4.820,112.00
36,5.060,240.00
37,5.172,111.00
38,5.324,151.00
39,5.425,100.00
40,5.453,28.00
41,5.492,38.00
42,5.526,34.00
43,5.553,26.00
44,5.572,19.00
45,5.594,21.00
46,5.608,14.00
47,5.638,30.00
48,5.668,29.00
49,5.712,44.00
50,5.744,32.00
51,5.791,47.00
52,5.828,37.00
53,5.863,34.00
54,5.890,27.00
55,5.907,16.00
56,5.926,19.00
57,5.951,25.00
58,5.988,37.00
59,6.013,24.00
60,6.041,28.00
61,6.070,28.00
62,6.118,47.00
63,6.138,19.00
64,6.160,22.00
65,6.200,40.00
66,6.220,19.00
67,6.234,13.00
68,6.268,34.00
69,6.290,22.00
70,6.310,19.00
71,6.330,19.00
72,6.359,29.00
73,6.385,25.00
74,6.406,21.00
75,6.431,24.00
76,6.450,19.00
77,6.468,18.00
78,6.492,24.00
79,6.514,21.00
80,6.532,18.00
81,6.545,13.00
82,6.564,19.00
83,6.584,19.00
84,6.602,18.00
85,6.625,22.00
86,6.645,20.00
87,6.660,14.00
88,6.673,12.00
89,6.686,13.00
90,6.702,15.00
91,6.724,22.00
92,6.734,10.00
93,6.748,13.00
94,6.760,12.00
95,6.772,11.00
96,6.793,20.00
97,6.815,22.00
98,6.835,19.00
99,6.851,15.00
