request_index,elapsed_s,latency_ms
0,0.015,14.00
1,0.021,6.00
2,0.027,6.00
3,0.033,5.00
4,0.038,5.00
5,0.043,5.00
6,0.048,4.00
7,0.056,8.00
8,0.060,4.00
9,0.069,8.00
10,0.078,8.00
11,0.084,5.00
12,0.090,6.00
13,0.090,0.00
14,0.102,11.00
15,0.132,30.00
16,0.139,6.00
17,0.145,6.00
18,0.153,8.00
19,0.159,5.00
20,0.164,5.00
21,0.169,4.00
22,0.175,5.00
23,0.184,9.00
24,0.190,5.00
25,0.195,4.00
26,0.198,3.00
27,0.211,13.00
28,0.218,6.00
29,0.229,10.00
30,0.231,2.00
31,0.239,7.00
32,0.243,3.00
33,0.251,8.00
34,0.260,8.00
35,0.261,0.00
36,0.270,9.00
37,0.278,8.00
38,0.290,11.00
39,0.291,0.00
40,0.301,10.00
41,0.308,7.00
42,0.317,8.00
43,0.322,5.00
44,0.332,9.00
45,0.340,8.00
46,0.348,7.00
47,0.358,10.00
48,0.363,4.00
49,0.372,8.00
50,0.389,17.00
51,0.404,14.00
52,0.412,8.00
53,0.420,7.00
54,0.428,7.00
55,0.436,8.00
56,0.441,5.00
57,0.450,8.00
58,0.457,7.00
59,0.469,11.00
60,0.482,13.00
61,0.490,8.00
62,0.498,8.00
63,0.505,6.00
64,0.526,21.00
65,0.534,7.00
66,0.541,7.00
67,0.548,6.00
68,0.555,6.00
69,0.559,4.00
70,0.563,4.00
71,0.573,10.00
72,0.578,4.00
73,0.584,5.00
74,0.588,4.00
75,0.598,10.00
76,0.606,8.00
77,0.612,5.00
78,0.619,6.00
79,0.627,8.00
80,0.634,6.00
81,0.639,5.00
82,0.668,28.00
83,0.678,10.00
84,0.690,11.00
85,0.708,18.00
86,0.723,15.00
87,0.735,11.00
88,0.750,14.00
89,0.762,12.00
90,0.778,16.00
91,0.790,11.00
92,0.802,12.00
93,0.819,16.00
94,0.828,9.00
95,0.844,16.00
96,0.850,5.00
97,0.858,8.00
98,0.868,10.00
99,0.882,14.00
