request_index,elapsed_s,latency_ms
0,0.009,9.00
1,0.015,6.00
2,0.020,4.00
3,0.026,5.00
4,0.031,4.00
5,0.035,4.00
6,0.041,5.00
7,0.046,5.00
8,0.052,5.00
9,0.055,3.00
10,0.062,6.00
11,0.066,4.00
12,0.071,5.00
13,0.076,4.00
14,0.082,5.00
15,0.086,4.00
16,0.092,5.00
17,0.098,6.00
18,0.103,4.00
19,0.108,5.00
20,0.113,4.00
21,0.118,5.00
22,0.123,4.00
23,0.129,5.00
24,0.134,4.00
25,0.138,4.00
26,0.143,5.00
27,0.150,6.00
28,0.154,4.00
29,0.159,4.00
30,0.166,6.00
31,0.171,5.00
32,0.176,5.00
33,0.182,5.00
34,0.187,4.00
35,0.192,5.00
36,0.196,4.00
37,0.202,5.00
38,0.207,5.00
39,0.212,4.00
40,0.217,5.00
41,0.223,5.00
42,0.228,5.00
43,0.233,5.00
44,0.237,4.00
45,0.242,4.00
46,0.248,6.00
47,0.253,5.00
48,0.258,5.00
49,0.264,5.00
50,0.269,5.00
51,0.274,4.00
52,0.279,5.00
53,0.284,4.00
54,0.289,5.00
55,0.294,5.00
56,0.300,5.00
57,0.304,4.00
58,0.310,5.00
59,0.314,4.00
60,0.320,5.00
61,0.325,4.00
62,0.329,4.00
63,0.335,5.00
64,0.340,4.00
65,0.345,5.00
66,0.350,4.00
67,0.356,5.00
68,0.360,4.00
69,0.366,5.00
70,0.371,5.00
71,0.376,5.00
72,0.381,4.00
73,0.385,3.00
74,0.391,6.00
75,0.395,4.00
76,0.402,6.00
77,0.407,5.00
78,0.412,5.00
79,0.416,3.00
80,0.422,6.00
81,0.426,4.00
82,0.433,6.00
83,0.438,5.00
84,0.454,15.00
85,0.459,5.00
86,0.464,5.00
87,0.469,5.00
88,0.474,5.00
89,0.479,4.00
90,0.485,5.00
91,0.489,4.00
92,0.497,8.00
93,0.516,18.00
94,0.522,5.00
95,0.527,5.00
96,0.533,5.00
97,0.538,5.00
98,0.543,4.00
99,0.548,4.00
