request_index,elapsed_s,latency_ms
0,0.010,9.00
1,0.015,5.00
2,0.020,4.00
3,0.025,4.00
4,0.031,6.00
5,0.036,4.00
6,0.041,5.00
7,0.047,5.00
8,0.050,3.00
9,0.059,8.00
10,0.065,6.00
11,0.068,3.00
12,0.074,6.00
13,0.082,7.00
14,0.088,5.00
15,0.093,5.00
16,0.093,0.00
17,0.107,13.00
18,0.107,0.00
19,0.115,8.00
20,0.121,6.00
21,0.126,4.00
22,0.135,8.00
23,0.143,8.00
24,0.143,0.00
25,0.152,9.00
26,0.160,8.00
27,0.166,5.00
28,0.171,5.00
29,0.177,6.00
30,0.182,4.00
31,0.182,0.00
32,0.192,10.00
33,0.198,6.00
34,0.203,4.00
35,0.207,4.00
36,0.215,7.00
37,0.217,1.00
38,0.225,8.00
39,0.230,4.00
40,0.236,6.00
41,0.244,7.00
42,0.249,5.00
43,0.253,3.00
44,0.260,7.00
45,0.268,7.00
46,0.271,3.00
47,0.280,8.00
48,0.284,4.00
49,0.291,6.00
50,0.294,3.00
51,0.303,9.00
52,0.306,3.00
53,0.313,6.00
54,0.320,7.00
55,0.325,4.00
56,0.331,6.00
57,0.341,9.00
58,0.346,5.00
59,0.348,1.00
60,0.356,7.00
61,0.356,0.00
62,0.367,10.00
63,0.375,8.00
64,0.377,1.00
65,0.385,8.00
66,0.387,2.00
67,0.392,5.00
68,0.402,10.00
69,0.402,0.00
70,0.414,11.00
71,0.420,6.00
72,0.427,6.00
73,0.433,6.00
74,0.435,1.00
75,0.443,8.00
76,0.447,4.00
77,0.454,6.00
78,0.461,7.00
79,0.466,5.00
80,0.468,1.00
81,0.468,0.00
82,0.468,0.00
83,0.486,18.00
84,0.493,6.00
85,0.495,2.00
86,0.504,8.00
87,0.506,2.00
88,0.506,0.00
89,0.516,10.00
90,0.516,0.00
91,0.527,10.00
92,0.531,4.00
93,0.537,6.00
94,0.537,0.00
95,0.537,0.00
96,0.537,0.00
97,0.557,19.00
98,0.562,5.00
99,0.567,4.00
