request_index,elapsed_s,latency_ms
0,0.011,11.00
1,0.020,8.00
2,0.022,2.00
3,0.026,3.00
4,0.026,0.00
5,0.043,16.00
6,0.047,3.00
7,0.053,6.00
8,0.059,6.00
9,0.064,5.00
10,0.070,6.00
11,0.070,0.00
12,0.083,12.00
13,0.086,3.00
14,0.091,5.00
15,0.091,0.00
16,0.102,11.00
17,0.110,7.00
18,0.116,6.00
19,0.123,7.00
20,0.126,3.00
21,0.133,6.00
22,0.134,1.00
23,0.134,0.00
24,0.149,14.00
25,0.153,3.00
26,0.155,2.00
27,0.166,10.00
28,0.167,1.00
29,0.177,9.00
30,0.181,4.00
31,0.188,7.00
32,0.189,1.00
33,0.189,0.00
34,0.204,14.00
35,0.209,4.00
36,0.215,6.00
37,0.219,3.00
38,0.229,10.00
39,0.234,4.00
40,0.237,3.00
41,0.245,8.00
42,0.250,4.00
43,0.256,6.00
44,0.257,0.00
45,0.266,9.00
46,0.271,5.00
47,0.271,0.00
48,0.281,9.00
49,0.281,0.00
50,0.291,10.00
51,0.298,6.00
52,0.300,2.00
53,0.305,5.00
54,0.313,8.00
55,0.315,2.00
56,0.321,5.00
57,0.330,8.00
58,0.333,3.00
59,0.333,0.00
60,0.345,12.00
61,0.349,4.00
62,0.354,5.00
63,0.361,6.00
64,0.366,5.00
65,0.368,1.00
66,0.378,10.00
67,0.378,0.00
68,0.389,10.00
69,0.394,5.00
70,0.399,5.00
71,0.407,8.00
72,0.410,3.00
73,0.410,0.00
74,0.424,13.00
75,0.424,0.00
76,0.434,9.00
77,0.440,6.00
78,0.445,4.00
79,0.448,3.00
80,0.456,7.00
81,0.456,0.00
82,0.464,7.00
83,0.471,7.00
84,0.477,5.00
85,0.480,3.00
86,0.488,8.00
87,0.490,1.00
88,0.497,7.00
89,0.503,6.00
90,0.508,4.00
91,0.508,0.00
92,0.520,12.00
93,0.524,4.00
94,0.528,3.00
95,0.539,10.00
96,0.539,0.00
97,0.550,11.00
98,0.550,0.00
99,0.561,10.00
